feature,importance
num__elo_diff,0.0802683
num__elo_surf_diff,0.038724225
num__rank_ratio,0.029234605
num__pts_diff,0.018462775
num__log_rank_diff,0.017338198
cat__best_of_3,0.012270067
cat__best_of_5,0.011778851
num__second_serve_win_pct_diff,0.011596474
num__rank_diff,0.011528854
num__days_rest_diff,0.011497083
cat__series_grand slam,0.010851308
cat__style_pair_Aggressive Baseliner vs All-Court Player,0.01027693
cat__p2_style_Serve-and-Volleyer,0.010093165
cat__style_pair_Aggressive Baseliner vs Serve-and-Volleyer,0.00973564
cat__style_pair_All-Court Player vs Counterpuncher,0.0095681725
cat__surface_grass,0.009549733
cat__style_surface_pair_Aggressive Baseliner vs Counterpuncher_hard,0.009506398
cat__style_surface_pair_Aggressive Baseliner vs All-Court Player_clay,0.009504173
num__surf_form_diff,0.009331811
cat__p1_style_Serve-and-Volleyer,0.009250807
cat__style_matchup_All-Court Player vs Aggressive Baseliner,0.009148424
cat__series_masters 1000,0.009057796
cat__round_semifinals,0.009049474
cat__round_3rd round,0.0090179695
num__experience_diff,0.008935318
cat__p1_style_All-Court Player,0.008914594
cat__p2_style_All-Court Player,0.008898414
cat__style_matchup_Aggressive Baseliner vs Serve-and-Volleyer,0.008888141
cat__p1_style_Counterpuncher,0.008885418
cat__style_pair_Aggressive Baseliner vs Counterpuncher,0.008834668
num__serve_dominance_diff,0.008827466
cat__style_surface_pair_Aggressive Baseliner vs Serve-and-Volleyer_hard,0.008753697
cat__style_matchup_Aggressive Baseliner vs All-Court Player,0.008707303
num__form_short_diff,0.008692127
cat__style_pair_Aggressive Baseliner vs Aggressive Baseliner,0.008640367
cat__p2_style_Counterpuncher,0.008624758
cat__court_outdoor,0.008602214
cat__p1_style_Unknown,0.008600483
cat__court_indoor,0.00857838
cat__style_matchup_Counterpuncher vs Counterpuncher,0.008549391
cat__style_surface_pair_Aggressive Baseliner vs Unknown_hard,0.008491781
num__surface_specialist_diff,0.008429213
cat__style_matchup_Unknown vs Aggressive Baseliner,0.008409475
cat__style_surface_pair_Aggressive Baseliner vs Aggressive Baseliner_hard,0.008401775
cat__surface_clay,0.008333859
cat__style_matchup_Aggressive Baseliner vs Counterpuncher,0.008320356
num__form_trend_diff,0.008311018
cat__style_matchup_Counterpuncher vs All-Court Player,0.00831047
cat__p2_style_Unknown,0.008290133
cat__series_atp500,0.008260328
cat__style_surface_pair_All-Court Player vs Counterpuncher_hard,0.0082539385
cat__style_pair_Counterpuncher vs Unknown,0.008216222
cat__round_quarterfinals,0.008181495
cat__style_matchup_All-Court Player vs Counterpuncher,0.008126113
cat__style_matchup_Aggressive Baseliner vs Unknown,0.008122973
num__h2h_n,0.008111379
cat__round_1st round,0.00805977
cat__style_surface_pair_Aggressive Baseliner vs All-Court Player_hard,0.008033165
num__form_long_diff,0.008016157
num__first_serve_pct_diff,0.007998341
num__same_style,0.007978324
